id,duration,bitrate,bitrate(video),height,width,frame rate,frame rate(est.),codec
uDNj-_5ty48,267,373,274,568,320,29.97,0,h264
uDNj-_5ty48,267,512,396,480,270,29.97,29.97,h264
uDNj-_5ty48,267,324,263,400,226,29.97,29.97,flv1
uDNj-_5ty48,267,85,55,176,144,12,12,mpeg4
WCgt-AactyY,31,1261,1183,640,480,24,0,h264
WCgt-AactyY,31,1166,1183,640,480,24,0,vp8
WCgt-AactyY,31,736,646,480,360,24,0,h264
WCgt-AactyY,31,715,641,480,360,24,24,h264
WCgt-AactyY,31,762,641,480,360,24,24,vp8
WCgt-AactyY,31,370,305,320,240,24,24,flv1
WCgt-AactyY,31,78,52,176,144,12,12,mpeg4
h9Kt-GhvVlg,333,727,638,384,288,25,0,h264
h9Kt-GhvVlg,333,668,567,384,288,25,25,h264
h9Kt-GhvVlg,333,306,246,320,240,25,25,flv1
h9Kt-GhvVlg,333,91,54,176,144,12,12,mpeg4
Wscj-i5jTjc,67,633,522,854,480,29.92,0,h264
Wscj-i5jTjc,67,437,320,640,360,29.92,0,h264
Wscj-i5jTjc,67,486,394,640,360,29.92,29.97,h264
Wscj-i5jTjc,67,515,394,640,360,29.97,29.97,vp8
Wscj-i5jTjc,67,302,246,400,224,29.92,29.97,flv1
Wscj-i5jTjc,67,82,53,176,144,12,11.34,mpeg4
dtMj-hglvaI,1000,2862,2703,1280,720,29.97,29.97,h264
dtMj-hglvaI,1000,2774,2703,1280,720,29.97,29.97,vp8
dtMj-hglvaI,1000,1174,1062,854,480,29.97,29.97,h264
dtMj-hglvaI,1000,1140,1062,854,480,29.97,29.97,vp8
dtMj-hglvaI,1000,845,725,640,360,29.97,29.97,h264
dtMj-hglvaI,1000,723,621,640,360,29.97,29.97,h264
dtMj-hglvaI,1000,821,621,640,360,29.97,29.97,vp8
dtMj-hglvaI,1000,323,262,400,224,29.97,29.97,flv1
dtMj-hglvaI,1000,81,56,176,144,12,12,mpeg4
6GVW-EHpDb0,59,480,436,480,270,25,0,h264
6GVW-EHpDb0,59,509,414,480,270,25,25,h264
6GVW-EHpDb0,59,298,258,400,226,25,25,flv1
6GVW-EHpDb0,59,78,49,176,144,12,12,mpeg4
v1PH-xb4M2U,17,8991,8804,1080,1920,30,30,h264
v1PH-xb4M2U,17,3518,3326,608,1080,30,30,h264
v1PH-xb4M2U,17,5642,3326,608,1080,30,30,vp8
v1PH-xb4M2U,17,2033,1839,406,720,30,30,h264
v1PH-xb4M2U,17,3006,1839,406,720,30,30,vp8
v1PH-xb4M2U,17,933,810,270,480,30,30,h264
v1PH-xb4M2U,17,1264,810,270,480,30,30,vp8
v1PH-xb4M2U,17,680,551,202,360,30,30,h264
v1PH-xb4M2U,17,676,577,202,360,30,30,h264
v1PH-xb4M2U,17,574,577,202,360,30,30,vp8
v1PH-xb4M2U,17,352,284,136,240,30,30,flv1
v1PH-xb4M2U,17,77,51,176,144,12,12,mpeg4
NOMf-ThvDq4,130,1268,1157,640,480,29.97,0,h264
NOMf-ThvDq4,130,1623,1157,640,480,29.97,0,vp8
NOMf-ThvDq4,130,908,788,480,360,29.97,0,h264
NOMf-ThvDq4,130,771,669,480,360,29.97,29.97,h264
NOMf-ThvDq4,130,1000,669,480,360,29.97,29.97,vp8
NOMf-ThvDq4,130,536,480,320,240,29.97,29.97,flv1
NOMf-ThvDq4,130,75,49,176,144,12,12,mpeg4
veQAJ4qlltU,58,739,648,640,356,23.98,0,h264
veQAJ4qlltU,58,609,500,480,266,23.98,23.98,h264
veQAJ4qlltU,58,723,500,640,356,23.98,23.98,vp8
veQAJ4qlltU,58,327,261,320,178,23.98,23.98,flv1
veQAJ4qlltU,58,81,52,176,144,12,12,mpeg4
vVbI-pvRMw8,28,310,177,640,480,15,0,h264
vVbI-pvRMw8,28,239,177,640,480,15,0,vp8
vVbI-pvRMw8,28,271,137,480,360,15,0,h264
vVbI-pvRMw8,28,241,142,480,360,15,15,h264
vVbI-pvRMw8,28,203,142,480,360,15,15,vp8
vVbI-pvRMw8,28,252,185,320,240,15,15,flv1
vVbI-pvRMw8,28,94,68,176,144,12,12,mpeg4
_Vfi-nip7d4,77,935,816,640,360,29.97,0,h264
_Vfi-nip7d4,77,739,640,640,360,29.97,29.97,h264
_Vfi-nip7d4,77,825,640,640,360,29.97,29.97,vp8
_Vfi-nip7d4,77,396,331,426,240,29.97,29.97,flv1
_Vfi-nip7d4,77,77,52,176,144,12,12,mpeg4
-yXKe-QgDSM,38,433,355,360,480,30,0,h264
-yXKe-QgDSM,38,573,355,360,480,30,0,vp8
-yXKe-QgDSM,38,381,302,270,360,30,0,h264
-yXKe-QgDSM,38,336,260,270,360,30,30,h264
-yXKe-QgDSM,38,405,260,270,360,30,30,vp8
-yXKe-QgDSM,38,344,277,180,240,30,30,flv1
-yXKe-QgDSM,38,78,52,176,144,12,12,mpeg4
nUlh-0CWHZc,304,432,302,352,262,29.97,0,h264
nUlh-0CWHZc,304,358,260,352,262,29.97,29.97,h264
nUlh-0CWHZc,304,324,260,352,262,29.97,29.97,vp8
nUlh-0CWHZc,304,338,272,322,240,29.97,29.97,flv1
nUlh-0CWHZc,304,82,56,176,144,12,12,mpeg4
vBWO-ydvmvc,323,1290,1180,800,480,29.97,0,h264
vBWO-ydvmvc,323,1311,1180,800,480,29.97,0,vp8
vBWO-ydvmvc,323,938,820,600,360,29.97,0,h264
vBWO-ydvmvc,323,738,639,600,360,29.97,29.97,h264
vBWO-ydvmvc,323,961,639,600,360,29.97,29.97,vp8
vBWO-ydvmvc,323,390,325,400,240,29.97,29.97,flv1
vBWO-ydvmvc,323,80,54,176,144,12,12,mpeg4
1RoS-kGBnR8,171,584,511,568,320,30,0,h264
1RoS-kGBnR8,171,572,497,568,320,30,30,h264
1RoS-kGBnR8,171,711,497,568,320,30,30,vp8
1RoS-kGBnR8,171,361,296,426,240,30,30,flv1
1RoS-kGBnR8,171,80,55,176,144,12,12,mpeg4
TCsX-lPnar0,102,483,354,600,480,25,0,h264
TCsX-lPnar0,102,532,354,600,480,25,0,vp8
TCsX-lPnar0,102,434,304,450,360,25,0,h264
TCsX-lPnar0,102,361,262,450,360,25,25,h264
TCsX-lPnar0,102,384,262,450,360,25,25,vp8
TCsX-lPnar0,102,306,239,300,240,25,25,flv1
